name,name_en,synonyms,kind
никель,nickel,Ni,металл
медь,copper,Cu,металл
кобальт,cobalt,Co,металл
золото,gold,Au,металл
серебро,silver,Ag,металл
платина,platinum,Pt,металл
палладий,palladium,Pd,металл
металлы платиновой группы,PGM,МПГ|платиноиды,группа металлов
редкоземельные элементы,REE,РЗЭ|редкоземельные металлы,группа металлов
железо,iron,Fe,металл
цинк,zinc,Zn,металл
свинец,lead,Pb,металл
алюминий,aluminium,Al,металл
сера,sulfur,S,элемент
штейн,matte,медный штейн|никелевый штейн|медно-никелевый штейн,промпродукт
шлак,slag,отвальный шлак,промпродукт
файнштейн,converter matte,,промпродукт
черновая медь,blister copper,,промпродукт
катодная медь,copper cathode,медный катод,продукт
никелевый катод,nickel cathode,катодный никель,продукт
анолит,anolyte,,раствор
католит,catholyte,,раствор
электролит,electrolyte,,раствор
серная кислота,sulfuric acid,H2SO4,реагент
соляная кислота,hydrochloric acid,HCl,реагент
известь,lime,известняк|CaO,реагент
сульфаты,sulfates,сульфат-ион,соединение
хлориды,chlorides,хлорид-ион,соединение
кальций,calcium,Ca,элемент
магний,magnesium,Mg,элемент
натрий,sodium,Na,элемент
гипс,gypsum,техногенный гипс,отход
пирротин,pyrrhotite,пирротиновый концентрат,минерал
пентландит,pentlandite,,минерал
халькопирит,chalcopyrite,,минерал
сфалерит,sphalerite,,минерал
никелевая руда,nickel ore,сульфидная никелевая руда|латеритная руда,руда
медная руда,copper ore,сульфидная медная руда,руда
медно-никелевая руда,copper-nickel ore,,руда
шахтная вода,mine water,рудничная вода,сток
угольные отходы,coal waste,угольный шлам,отход
хвосты обогащения,tailings,хвосты,отход
диоксид серы,sulfur dioxide,SO2|сернистый газ,газ
концентрат,concentrate,флотоконцентрат,промпродукт
