name,name_en,synonyms,category
выщелачивание,leaching,,гидрометаллургия
кучное выщелачивание,heap leaching,КВ,гидрометаллургия
автоклавное выщелачивание,pressure leaching,POX|автоклавное окисление,гидрометаллургия
подземное выщелачивание,in-situ leaching,ПВ|скважинное выщелачивание,геотехнология
электроэкстракция,electrowinning,EW|электроэкстракция никеля,гидрометаллургия
электрорафинирование,electrorefining,ER,гидрометаллургия
экстракция растворителями,solvent extraction,SX|жидкостная экстракция,гидрометаллургия
цементация,cementation,,гидрометаллургия
сорбция,sorption,ионный обмен|ion exchange,гидрометаллургия
осаждение,precipitation,,гидрометаллургия
нейтрализация,neutralization,,экология
обессоливание,desalination,деминерализация,экология
обратный осмос,reverse osmosis,RO,экология
электродиализ,electrodialysis,ED,экология
закачка шахтных вод,mine water injection,закачка в глубокие горизонты,экология
очистка сточных вод,wastewater treatment,очистка шахтных вод,экология
газоочистка,gas cleaning,очистка газов|удаление SO2,экология
флотация,flotation,пенная флотация,обогащение
измельчение,grinding,помол,обогащение
дробление,crushing,,обогащение
магнитная сепарация,magnetic separation,,обогащение
гравитационное обогащение,gravity separation,,обогащение
сгущение,thickening,,обогащение
фильтрация,filtration,фильтрование,обогащение
обжиг,roasting,,пирометаллургия
плавка,smelting,,пирометаллургия
взвешенная плавка,flash smelting,плавка во взвешенном состоянии,пирометаллургия
плавка в жидкой ванне,bath smelting,ПЖВ|плавка Ванюкова,пирометаллургия
конвертирование,converting,,пирометаллургия
электроплавка,electric smelting,руднотермическая плавка,пирометаллургия
восстановительная плавка,reduction smelting,,пирометаллургия
рафинирование,refining,,пирометаллургия
гранулирование,granulation,грануляция,пирометаллургия
окомкование,pelletizing,агломерация,обогащение
сушка,drying,,вспомогательные
циркуляция католита,catholyte circulation,циркуляция электролита,гидрометаллургия
