name,name_en,synonyms,type
печь взвешенной плавки,flash smelting furnace,ПВП|печь Оутокумпу,печь
печь Ванюкова,Vanyukov furnace,ПВ (печь),печь
электропечь,electric furnace,руднотермическая печь|РТП,печь
конвертер,converter,конвертор,печь
обжиговая печь,roasting furnace,печь кипящего слоя|КС,печь
ванна электроэкстракции,electrowinning cell,электролизная ванна|электролизёр,электролиз
диафрагменная ячейка,diaphragm cell,диафрагменный электролизёр,электролиз
автоклав,autoclave,,гидрометаллургия
сгуститель,thickener,,обогащение
флотомашина,flotation machine,флотационная машина|флотокамера,обогащение
мельница,mill,шаровая мельница|мельница ММС,обогащение
дробилка,crusher,,обогащение
фильтр-пресс,filter press,,фильтрация
вакуум-фильтр,vacuum filter,,фильтрация
скруббер,scrubber,газопромыватель,газоочистка
электрофильтр,electrostatic precipitator,ЭФ,газоочистка
установка обратного осмоса,reverse osmosis unit,мембранная установка,водоочистка
выпарная установка,evaporator,выпарной аппарат,водоочистка
нагнетательная скважина,injection well,поглощающая скважина,геотехнология
кучный штабель,heap pad,рудный штабель,геотехнология
